,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
0,0,28,AAFuoQg8VqL0bhyQcXazSyiD,정경대학,인문·사회,1,정원내신입학,졸업,경제학과,계량경제학전공,AAHWm3KrWZ5oxJSX8Qdd4FfT,korean,석·박사통합과정,2019,1R,19811109,2020,1R,4.44,8,47000000,83.6,10,타교,,979167
1,1,65,AAESWBSt0iT844A5hptIbsRT,생명과학대학,자연과학,2,학연산협동과정,졸업,생명공학과,의약나노바이오시스템전공,AAEO7eR3iF66glPgIUiw8Cp7,korean,석·박사통합과정,2019,2R,19900325,2020,1R,4.42,7,,45,46.1,타교,,0
2,2,103,AAGbN0WO9yHl9Bk6GcgNB+fN,이과대학,자연과학,1,정원내신입학,졸업,화학과,무기화학전공,AAEIBOJNWOLrJFF534LqW3Il,korean,석·박사통합과정,2018,1R,19910201,2020,1R,4.36,10,74500000,42,50,자교,,1241667
3,3,122,AAHAsJVv6TMImBEIos+p9QQl,공과대학,공학,2,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19910210,2020,1R,4.19,10,,46.5,48.1,타교,,0
4,4,154,AAG7ZKcblk0SWOi/ZRccZCTW,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,분자생체공학전공,AAGHKhtTRVM2izkG1lKId0XM,korean,석·박사통합과정,2019,1R,19930904,2020,1R,4.33,8,69910000,40,49.6,자교,,1456458
5,5,262,AAF46cQgBR3CIhu/r0U0yD2r,정보대학,공학,1,정원내신입학,졸업,컴퓨터·전파통신공학과,컴퓨터학전공,AAHW/nJYEE7Q/Lg+jCWZCS2V,korean,석·박사통합과정,2019,1R,19930413,2020,1R,4.32,8,50945000,46.5,46.7,자교,,1061354
6,6,336,AAEiAunrnqSCyl67BuCtViIO,의과대학,자연과학,2,정원내신입학,졸업,의과학과,의생명과학전공,AAGBU0/Z6RmwgLjNpm+x0e0R,korean,석·박사통합과정,2020,1R,19910409,2020,1R,4.31,8,35650000,42.33,46.67,타교,,742708
7,7,338,AAFt2Ih4hbas8HWBH70ZK/Kx,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,2R,19910930,2020,1R,4.17,8,,39.3,38.1,타교,,0
8,8,346,AAEtXDclBtE4/D+7Bhaaar7p,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,1R,19910810,2020,1R,4.44,8,61720638,45.9,42.9,자교,,1285847
9,9,362,AAGWyGcFhDoNF1AhCrWmbNfJ,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,재활과학전공,AAExmaXh+bM09DJG7eJRPwz+,korean,석·박사통합과정,2018,1R,19890802,2020,1R,4.16,10,38048987,41.2,41.2,타교,,634150
10,10,377,AAETdkBJMPq8RdEhU1hz1hCW,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,환경보건학전공,AAHq1aLSiveQarv1QuOmgge9,korean,석·박사통합과정,2018,1R,19890301,2020,1R,4.31,10,136183404,47,46.2,자교,,2269723
11,11,381,AAFQAXiJRLYV9jhshEfBthoi,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900817,2020,1R,4.06,10,77936000,42,43,자교,,1298933
12,12,403,AAFRGdJwIVydeCaCnzjeI8wp,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,korean,석·박사통합과정,2018,1R,19911029,2020,1R,4.39,10,114520000,57,38,자교,,1908667
13,13,786,AAF6OkhXqfriyj6es1UnpDTU,공과대학,공학,1,편입학통합(4학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2016,2R,19820301,2017,1R,4.14,7,,49,39,타교,,0
14,14,2336,AAERPnDIXeS0PahOUMQZu+xX,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,1R,19920824,2019,1R,4,8,68509388,50,33.5,자교,,1427279
15,15,2386,AAE8oJMfQOuZeq331sVjGA2A,의과대학,자연과학,1,정원내신입학,졸업,의과학과,의생명과학전공,AAFyo3p3/9xGKpqfbRvY3Cnc,korean,석·박사통합과정,2018,1R,19890930,2019,1R,4.08,8,23760000,39.7,41.3,타교,,495000
16,16,2408,AAFNvUe0kLmgAf9Men/DupBq,공과대학,공학,1,편입학석사(3학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2017,1R,19881113,2019,1R,4.42,10,,49,49,타교,타교,0
17,17,2422,AAFe3WimdzecPDdYw9kO0keL,의과대학,자연과학,1,정원내신입학,졸업,의과학과,의생명과학전공,AAGkVBKBzv2aeOZzyQKVclmV,korean,석·박사통합과정,2018,1R,19890630,2019,1R,4.18,8,75737200,35.6,39.6,타교,,1577858
18,18,2437,AAHgfhnMou2UKxaRoAgWXmQC,의과대학,자연과학,2,정원내신입학,졸업,의과학과,의생명과학전공,AAGBU0/Z6RmwgLjNpm+x0e0R,korean,석·박사통합과정,2018,1R,19920715,2019,1R,4.11,8,41830000,41,44.7,타교,,871458
19,19,2441,AAHeAJT8IYE9tghE5xR1Fp0j,공과대학,공학,1,정원외-계약학과,졸업,나노반도체공학과,나노반도체재료및소자전공,AAFOnXyI9jipyy9a/FKtt3pd,korean,석·박사통합과정,2018,1R,19900805,2020,1R,4.36,10,40226000,48,45,자교,,670433
20,20,2565,AAHhbsVjIe6Ui1lDAHMXH7ku,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900508,2019,1R,4.25,8,,44.5,43.9,타교,,0
21,21,2704,AAHknR4lR4XgWKk9K+18R7sv,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,치의기공학전공,AAGC3gcuN8Uq3ar2WyQ3GHyR,korean,석·박사통합과정,2018,2R,19911018,2018,2R,4.08,6,,42.2,41.6,타교,,0
22,22,2899,AAEU2Bkrnr9uXJ/msVlBPfnr,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,치의기공학전공,AAEy0Hc2OmGBaWLjj4QHno00,korean,석·박사통합과정,2019,1R,19901127,2019,1R,4.19,6,26619160,42,47,타교,,739421
23,23,2977,AAGLQjW9tK7XA9OBA+UOwYuA,법과대학,인문·사회,2,정원내신입학,졸업,법학과,상법전공,AAGy0qCzwwAtJbn7rcwu3s9c,korean,석·박사통합과정,2018,1R,19880726,2019,1R,4.48,8,7525000,36.7,53,타교,타교,156771
24,24,3169,AAGTW1Qwphzw3bxehIv24tpb,공과대학,공학,1,정원외-계약학과,졸업,IT융합학과,IT융합전공,AAEjhMsY958qKCUYKbgm7g0N,korean,석·박사통합과정,2018,1R,19890401,2020,1R,4.28,10,98320000,47.33,46,자교,,1638667
25,25,3246,AAEu5d6Sjc3CDvBijOKhFSRB,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석·박사통합과정,2018,1R,19911024,2020,1R,4.19,10,118313449,41.8,41.7,자교,,1971891
26,26,3326,AAGlDaAMgMUlvSmWfxX9QwrO,의과대학,자연과학,1,정원내신입학,졸업,의과학과,의생명과학전공,AAGTZA9ZLvG4wSpgip+nEQ/A,korean,석·박사통합과정,2018,1R,19890823,2019,2R,4.13,9,54040000,40.6,38.6,타교,,1000741
27,27,3327,AAHEb4TbhR6zEOeFqr/H4ceq,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,석·박사통합과정,2018,1R,19881120,2019,2R,4.08,9,126071418,49.33,46.33,자교,,2334656
28,28,3351,AAF66KUmohufBRje1z1TawWp,의과대학,자연과학,2,정원내신입학,졸업,의과학과,의생명과학전공,AAE7JuCc+UnkjcqjezUMl8Fl,korean,석·박사통합과정,2018,2R,19920123,2019,2R,4.28,8,81488900,44.33,47.67,타교,,1697685
29,29,3361,AAEM2MZf9CZXqViVLfFd5tqi,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,korean,석·박사통합과정,2018,1R,19911226,2019,2R,4.18,9,126071418,49,48.67,타교,,2334656
30,30,3367,AAHNVJ+MXcnQQcT8TF+NPk+r,정보대학,공학,1,정원내신입학,졸업,컴퓨터·전파통신공학과,컴퓨터학전공,AAGfQMD7WlQeXOGRedxFV7M9,korean,석·박사통합과정,2019,1R,19920318,2019,2R,4.5,7,69870000,45.7,45.8,자교,,1663571
31,31,3463,AAHQa0uwrQxP8F3w5nhfjZ8T,공과대학,공학,2,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19911009,2019,2R,4.17,9,49600000,42,44,타교,,918519
32,32,3494,AAFvKFSvOzgxd8HilfNrfNJi,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFgFJdHtItomDhzhC+rjvBq,korean,석·박사통합과정,2018,1R,19900806,2019,2R,4.44,9,88800000,53,34,자교,,1644444
33,33,3519,AAHtUVFcVX2v0XDLmYckzHPn,보건과학대학,자연과학,1,정원내신입학,졸업,의생명융합과학과,식품영양과학전공,AAHOgh7Z0ib2HpfnDBf/HS+s,korean,석·박사통합과정,2019,1R,19630421,2019,1R,4.19,7,,31,50,타교,,0
34,34,3581,AAGLsSAx33Jh5fFx0KoOQNC+,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19880711,2020,2R,4.36,11,,43.1,42.2,타교,,0
35,35,3582,AAFcGOnXW65AvsjvEH4jILA5,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAGtJM3euCvvqb5hTFq1uzz2,korean,석·박사통합과정,2018,1R,19880702,2020,2R,4.19,11,26100000,40,45.33,타교,,395455
36,36,3592,AAEeDTrdMcG9B5NMmYDsKsUB,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFOnXyI9jipyy9a/FKtt3pd,korean,석·박사통합과정,2018,1R,19901204,2020,2R,4.25,11,114916000,54,34,자교,,1741152
37,37,3594,AAEw2H469LtDx41ZmBXTPuso,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAEg0pRgP/AA4MDAFJDKct5i,korean,석·박사통합과정,2018,2R,19930226,2020,2R,4.17,11,77855230,51,33,자교,,1179625
38,38,3600,AAE/EBpLglRa+rAhzmC6cAbw,정보대학,공학,1,정원내신입학,졸업,뇌공학과,뇌공학전공,AAHVeEwwCzh2IWwZCkFyVnfp,korean,석·박사통합과정,2018,2R,19900910,2020,2R,4.17,10,81133850,49,48,자교,,1352231
39,39,3605,AAHzBt8dSspEc3DDdcUj4BtX,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,시스템식품생명공학전공,AAHECUxqFpXUf9CGdHkhqPtY,korean,석·박사통합과정,2019,2R,19930702,2020,2R,4.25,8,57537455,49,47.3,타교,,1198697
40,40,3607,AAHha9SQIFK3yVXExmGhbegi,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,지진방재전공,AAGCqxpkl1TslVbWwzL7IA5K,korean,석·박사통합과정,2019,1R,19920907,2020,2R,4.11,11,130397000,48.33,44,자교,,1975712
41,41,3615,AAFrTvPAMV8egno5nD3DOY4u,정경대학,인문·사회,1,정원내신입학,졸업,경제학과,거시경제학전공,AAGX/gnQ4XBmPgRWSmGyKe3U,korean,석·박사통합과정,2018,2R,19781111,2020,2R,4.03,10,37973333,76.6,8,자교,,632889
42,42,3617,AAHefLQxIhdVG944neYPibsX,정보대학,공학,1,정원내신입학,졸업,컴퓨터·전파통신공학과,컴퓨터학전공,AAGfQMD7WlQeXOGRedxFV7M9,korean,석·박사통합과정,2019,2R,19940328,2020,2R,4.44,9,105000000,46,46.4,자교,,1944444
43,43,3656,AAELoYcUWn3807qaa7HmtpTL,경영대학,인문·사회,1,정원내신입학,졸업,경영학과,MIS전공,AAHdEPbishnEfuq3vMq50URD,korean,석·박사통합과정,2018,1R,19900313,2020,2R,4.07,11,26800000,38,60,타교,,406061
44,44,3681,AAFIQbnNf17prLjF6uxtZXvk,이과대학,자연과학,1,정원내신입학,졸업,화학과,물리화학전공,AAH3+a/wq2RuQ78l5P1wfym4,korean,석·박사통합과정,2019,1R,19901205,2020,2R,4.31,11,84270000,41,43,타교,,1276818
45,45,3692,AAGk6rVTd0fn//xQWqKADxd5,이과대학,자연과학,1,정원내신입학,졸업,수학과,위상수학전공,AAFpxck85PXuCaF51bEq3Zax,korean,석·박사통합과정,2018,2R,19880727,2020,2R,4.34,10,81760000,45,43,타교,,1362667
46,46,3715,AAFiyJAgOgU6netJXq6Q9G2O,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,치의기공학전공,AAGC3gcuN8Uq3ar2WyQ3GHyR,korean,석·박사통합과정,2020,1R,19840115,2020,2R,4.22,7,18000000,47.7,48.8,타교,,428571
47,47,3734,AAEbh4oMs0APcj8fxTklkDKu,생명과학대학,자연과학,1,정원내신입학,졸업,생명공학과,시스템식품생명공학전공,AAEPSSGkQfBmBgUm/513k0AV,korean,석·박사통합과정,2019,1R,19910224,2020,2R,4.06,9,71976666,50,44.03,타교,,1332901
48,48,3741,AAGlVhFZppDTfmLa23Kf4hBE,생명과학대학,자연과학,1,정원내신입학,졸업,생명공학과,분자생체공학전공,AAGHKhtTRVM2izkG1lKId0XM,korean,석·박사통합과정,2019,1R,19930506,2020,2R,4.12,9,85881281,50,45.08,자교,,1590394
49,49,3762,AAEOX1bgJb8ItVqr6yT0R7un,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAFa0n41YacK09cpuBFoETAk,korean,석·박사통합과정,2018,1R,19920502,2020,2R,4.33,11,184257560,40.2,41.1,타교,,2791781
